condition,trial,seed,pd_before,pd_after,pfa_before,pfa_after,reports_before,reports_after,report_lower_bound,already_at_count_bound,changed_targets,candidate_pd_evaluations,min_predicted_pd_change,fine_evaluations_before,fine_evaluations_after
nominal,0,7319,1.0,1.0,0.03333333333333333,0.03333333333333333,0,0,0,1,0,0,0.0,56.0,56.0
nominal,1,7319,0.9,0.9,0.03333333333333333,0.03333333333333333,1,1,1,1,0,0,0.0,69.0,69.0
nominal,2,7319,1.0,1.0,0.05333333333333334,0.05333333333333334,0,0,0,1,0,0,0.0,55.0,55.0
nominal,3,7319,1.0,1.0,0.043333333333333335,0.043333333333333335,1,1,1,1,0,0,0.0,56.0,56.0
nominal,4,7319,1.0,1.0,0.05,0.05,1,1,1,1,0,0,0.0,60.0,60.0
nominal,5,7319,1.0,1.0,0.06,0.06,0,0,0,1,0,0,0.0,55.0,55.0
nominal,6,7319,1.0,1.0,0.06,0.06,0,0,0,1,0,0,0.0,59.0,59.0
nominal,7,7319,1.0,1.0,0.03666666666666667,0.03666666666666667,1,1,1,1,0,0,0.0,71.0,71.0
nominal,8,7319,1.0,1.0,0.05,0.05,0,0,0,1,0,0,0.0,56.0,56.0
nominal,9,7319,1.0,1.0,0.03666666666666667,0.03666666666666667,0,0,0,1,0,0,0.0,67.0,67.0
nominal,10,7319,1.0,1.0,0.056666666666666664,0.056666666666666664,0,0,0,1,0,0,0.0,55.0,55.0
nominal,11,7319,1.0,1.0,0.03666666666666667,0.03666666666666667,0,0,0,1,0,0,0.0,56.0,56.0
nominal,12,7319,1.0,1.0,0.04,0.04,1,1,1,1,0,0,0.0,61.0,61.0
nominal,13,7319,1.0,1.0,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,55.0,55.0
nominal,14,7319,0.9,0.9,0.04666666666666667,0.04666666666666667,2,2,2,1,0,0,0.0,60.0,60.0
nominal,15,7319,1.0,1.0,0.06,0.06,1,1,1,1,0,0,0.0,59.0,59.0
nominal,16,7319,1.0,1.0,0.09,0.09,0,0,0,1,0,0,0.0,56.0,56.0
nominal,17,7319,1.0,1.0,0.043333333333333335,0.043333333333333335,2,2,2,1,0,0,0.0,76.0,76.0
nominal,18,7319,1.0,1.0,0.05,0.05,2,2,2,1,0,0,0.0,67.0,67.0
nominal,19,7319,1.0,1.0,0.06666666666666667,0.06666666666666667,0,0,0,1,0,0,0.0,58.0,58.0
nominal,20,7319,1.0,1.0,0.03333333333333333,0.03333333333333333,3,3,3,1,0,0,0.0,67.0,67.0
nominal,21,7319,1.0,1.0,0.06333333333333334,0.06333333333333334,0,0,0,1,0,0,0.0,55.0,55.0
nominal,22,7319,1.0,1.0,0.05,0.05,0,0,0,1,0,0,0.0,55.0,55.0
nominal,23,7319,0.9,0.9,0.06666666666666667,0.06666666666666667,0,0,0,1,0,0,0.0,59.0,59.0
nominal,24,7319,1.0,1.0,0.05,0.05,0,0,0,1,0,0,0.0,55.0,55.0
nominal,25,7319,1.0,1.0,0.05,0.05,1,1,1,1,0,0,0.0,60.0,60.0
nominal,26,7319,1.0,1.0,0.056666666666666664,0.056666666666666664,0,0,0,1,0,0,0.0,57.0,57.0
nominal,27,7319,0.9,0.9,0.03,0.03,0,0,0,1,0,0,0.0,56.0,56.0
nominal,28,7319,1.0,1.0,0.03333333333333333,0.03333333333333333,0,0,0,1,0,0,0.0,55.0,55.0
nominal,29,7319,1.0,1.0,0.06333333333333334,0.06333333333333334,0,0,0,1,0,0,0.0,56.0,56.0
nominal,30,7319,0.9,0.9,0.06666666666666667,0.06666666666666667,1,1,1,1,0,0,0.0,56.0,56.0
nominal,31,7319,1.0,1.0,0.056666666666666664,0.056666666666666664,0,0,0,1,0,0,0.0,56.0,56.0
nominal,32,7319,1.0,1.0,0.05333333333333334,0.05333333333333334,0,0,0,1,0,0,0.0,69.0,69.0
nominal,33,7319,1.0,1.0,0.04666666666666667,0.04666666666666667,1,1,1,1,0,0,0.0,60.0,60.0
nominal,34,7319,0.9,0.9,0.02666666666666667,0.02666666666666667,0,0,0,1,0,0,0.0,59.0,59.0
nominal,35,7319,1.0,1.0,0.04,0.04,0,0,0,1,0,0,0.0,55.0,55.0
nominal,36,7319,1.0,1.0,0.04666666666666667,0.04666666666666667,0,0,0,1,0,0,0.0,55.0,55.0
nominal,37,7319,1.0,1.0,0.04,0.04,1,1,1,1,0,0,0.0,57.0,57.0
nominal,38,7319,1.0,1.0,0.05,0.05,0,0,0,1,0,0,0.0,63.0,63.0
nominal,39,7319,1.0,1.0,0.04,0.04,1,1,1,1,0,0,0.0,60.0,60.0
